Hardware config,Submodule Instance,isRTL,ConvKernelDim (dimensions flattened),Dilation (dimensions flattened),Input Feature Map Channels,Input Feature Map Dim (dimensions flattened),ImgDim (dimensions flattened),K,Labels,MH,MW,NumChannels,Output Feature Map Dim (dimensions flattened),PE,Padding (dimensions flattened),SIMD,Stride (dimensions flattened),accDataType (bits),cycles_estimate,inputDataType (bits),noActivation,numInputVectors (dimensions flattened),op_type,outputDataType (bits),parallel_window,ram_style,weightDataType (bits),Total LUT,BRAM (36k eq.),DSP Blocks
t2w2_run16_40_modify_folding_BOTH,FMPadding_rtl_0,1,,,,,1024.0,,,,,4.0,,,1.0,1.0,,,4624.0,8.0,,,FMPadding_rtl,,,,,51,0.0,0
t2w2_run16_40_modify_folding_BOTH,FMPadding_rtl_1,1,,,,,256.0,,,,,16.0,,,1.0,2.0,,,2592.0,2.0,,,FMPadding_rtl,,,,,46,0.0,0
t2w2_run16_40_modify_folding_BOTH,FMPadding_rtl_2,1,,,,,64.0,,,,,8.0,,,1.0,1.0,,,800.0,2.0,,,FMPadding_rtl,,,,,41,0.0,0
t2w2_run16_40_modify_folding_BOTH,FMPadding_rtl_3,1,,,,,16.0,,,,,16.0,,,1.0,1.0,,,576.0,2.0,,,FMPadding_rtl,,,,,47,0.0,0
t2w2_run16_40_modify_folding_BOTH,LabelSelect_hls_0,0,,,,,,1.0,6.0,,,,,1.0,,,,,6.0,7.0,,1.0,LabelSelect_hls,8.0,,,,58,0.0,0
t2w2_run16_40_modify_folding_BOTH,MVAU_hls_0,0,,,,,,,,16.0,36.0,,,1.0,,36.0,,13.0,4096.0,8.0,0.0,256.0,MVAU_hls,2.0,,,2.0,599,1.0,36
t2w2_run16_40_modify_folding_BOTH,MVAU_hls_1,0,,,,,,,,8.0,144.0,,,1.0,,16.0,,9.0,4608.0,2.0,0.0,64.0,MVAU_hls,2.0,,,2.0,440,0.5,16
t2w2_run16_40_modify_folding_BOTH,MVAU_hls_2,0,,,,,,,,16.0,72.0,,,1.0,,4.0,,8.0,4608.0,2.0,0.0,16.0,MVAU_hls,2.0,,,2.0,328,0.5,4
t2w2_run16_40_modify_folding_BOTH,MVAU_hls_3,0,,,,,,,,8.0,144.0,,,1.0,,1.0,,9.0,4608.0,2.0,0.0,4.0,MVAU_hls,2.0,,,2.0,779,0.5,1
t2w2_run16_40_modify_folding_BOTH,MVAU_hls_4,0,,,,,,,,6.0,32.0,,,1.0,,1.0,,7.0,192.0,2.0,1.0,1.0,MVAU_hls,7.0,,,2.0,322,0.5,1
t2w2_run16_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,26,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_5,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_0,1,,,,,,,,,,,,,,,,,,,,,,,,,,319,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_10,1,,,,,,,,,,,,,,,,,,,,,,,,,,132,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_11,1,,,,,,,,,,,,,,,,,,,,,,,,,,55,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_12,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_13,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_14,1,,,,,,,,,,,,,,,,,,,,,,,,,,62,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_15,1,,,,,,,,,,,,,,,,,,,,,,,,,,55,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_16,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_17,1,,,,,,,,,,,,,,,,,,,,,,,,,,123,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_18,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_19,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_2,1,,,,,,,,,,,,,,,,,,,,,,,,,,39,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_20,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_3,1,,,,,,,,,,,,,,,,,,,,,,,,,,39,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_4,1,,,,,,,,,,,,,,,,,,,,,,,,,,628,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_5,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_6,1,,,,,,,,,,,,,,,,,,,,,,,,,,55,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_7,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_8,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingFIFO_rtl_9,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0,0
