Repo,NodeName,dataType (bits),inFIFODepths (dimensions flattened),inWidth,outFIFODepths (dimensions flattened),outWidth,shape (dimensions flattened),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,16,146,32,4624,11,11,0,0,51,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,8,2,32,2,288,9216,24,24,0,0,326,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,2,2,8,2,40,5120,12,10,0,2,49,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,2,2,2,1022,4,2048,4,4,0,0,9,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,8,593,96,9216,11,11,0,0,110,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,2,2,2,2,8,5120,5,5,0,0,14,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,2,2,2,338,4,2048,4,4,0,0,9,0,0,0
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,2,2,2,32,4,2048,12,12,0,0,86,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,16,146,32,4624,12,12,0,0,51,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,4,2,20,2,80,5120,14,14,0,0,104,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,4,2,4,1022,8,2048,5,5,0,0,15,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,8,593,96,9216,11,11,0,0,110,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,4,2,4,2,16,5120,6,6,0,0,24,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,4,2,4,338,8,2048,5,5,0,0,15,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,4,2,4,32,8,2048,5,5,0,0,15,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,16,146,32,4624,12,12,0,0,51,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,8,2,80,2,160,5120,43,43,0,0,243,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,8,2,8,1022,16,2048,7,7,0,0,27,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,8,593,96,9216,11,11,0,0,110,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,8,2,8,2,32,5120,8,8,0,0,44,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,8,2,8,338,16,2048,7,7,0,0,27,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,8,32,16,2048,7,7,0,0,27,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,16,146,32,4624,12,12,0,0,51,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,8,2,32,2,288,9216,23,23,0,0,326,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,2,2,4,32,8,4096,5,5,0,0,15,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,2,2,8,58,16,5184,7,7,0,0,27,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_4,2,569,2,576,4,1152,4,4,0,0,9,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_5,2,2,2,142,4,576,4,4,0,0,9,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,8,870,72,9216,12,12,0,0,86,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,2,2,2,682,8,9216,5,5,0,0,14,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,2,2,2,178,4,1152,4,4,0,0,9,0,0,0
