Repo,NodeName,MH,MW,PE,SIMD,accDataType (bits),binaryXnorMode,inputDataType (bits),numInputVectors (dimensions flattened),outputDataType (bits),weightDataType (bits),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t4w1a1_100fps_u,MVAU_hls_3,128,1152,1,16,11,1,1,100,1,1,1.2481,1.2481,0.0,0,1.3553,5.7143,0.3571,0.0
t4w1a1_100fps_u,MVAU_hls_4,256,1152,1,3,11,1,1,9,1,1,3.7368,3.7368,0.0,0,1.2867,6.4286,0.3571,0.0
t4w1a1_100fps_u,MVAU_hls_5,256,2304,1,3,12,1,1,1,1,1,6.1748,6.1748,0.0,0,2.3863,12.8571,0.3571,0.0
t4w1a1_100fps_u,MVAU_hls_6,512,256,1,1,9,1,1,1,1,1,1.0301,1.0301,0.0,0,0.4032,2.8571,0.3571,0.0
t4w1a1_100fps_u,MVAU_hls_7,512,512,1,1,10,1,1,1,1,1,1.968,1.968,0.0,0,0.656,5.7143,0.3571,0.0
t4w1a1_100fps_u,MVAU_hls_8,10,512,1,1,16,1,1,1,16,1,1.8402,1.8402,0.0,0,0.6833,0.7143,0.0,0.0
t4w1a1_3500fps_u,MVAU_hls_0,64,27,4,27,13,0,8,900,1,2,4.9154,4.9154,0.0,0,3.6842,2.1429,0.0,0.0
t4w1a1_3500fps_u,MVAU_hls_1,64,576,16,72,10,1,1,784,1,1,13.4004,13.4004,0.0,0,7.5893,22.8571,0.0,0.0
t4w1a1_3500fps_u,MVAU_hls_2,128,576,8,72,10,1,1,144,1,1,3.8853,3.8853,0.0,0,2.6316,5.7143,0.0,0.0
t4w1a1_3500fps_u,MVAU_hls_3,128,1152,8,72,11,1,1,100,1,1,7.2951,7.2951,0.0,0,5.0357,11.4286,0.0,0.0
t4w1a1_3500fps_u,MVAU_hls_4,256,1152,1,96,11,1,1,9,1,1,2.1335,2.1335,0.0,0,1.8008,5.7143,0.7143,0.0
t4w1a1_3500fps_u,MVAU_hls_5,256,2304,1,3,12,1,1,1,1,1,6.1767,6.1767,0.0,0,2.3863,12.8571,0.3571,0.0
t4w1a1_3500fps_u,MVAU_hls_6,512,256,1,8,9,1,1,1,1,1,0.609,0.609,0.0,0,0.4361,2.8571,0.3571,0.0
t4w1a1_3500fps_u,MVAU_hls_7,512,512,1,16,10,1,1,1,1,1,0.8008,0.8008,0.0,0,0.7453,5.7143,0.3571,0.0
t4w1a1_3500fps_u,MVAU_hls_8,10,512,1,1,16,1,1,1,16,1,1.8402,1.8402,0.0,0,0.6833,0.7143,0.0,0.0
t4w1a1_4000fps_u,MVAU_hls_0,64,27,4,27,13,0,8,900,1,2,4.9154,4.9154,0.0,0,3.6842,2.1429,0.0,0.0
t4w1a1_4000fps_u,MVAU_hls_1,64,576,32,72,10,1,1,784,1,1,13.4004,13.4004,0.0,0,7.5893,22.8571,0.0,0.0
t4w1a1_4000fps_u,MVAU_hls_2,128,576,8,72,10,1,1,144,1,1,3.8853,3.8853,0.0,0,2.6316,5.7143,0.0,0.0
t4w1a1_4000fps_u,MVAU_hls_3,128,1152,16,72,11,1,1,100,1,1,7.2951,7.2951,0.0,0,5.0357,11.4286,0.0,0.0
t4w1a1_4000fps_u,MVAU_hls_4,256,1152,2,72,11,1,1,9,1,1,2.1335,2.1335,0.0,0,1.8008,5.7143,0.7143,0.0
t4w1a1_4000fps_u,MVAU_hls_5,256,2304,1,3,12,1,1,1,1,1,6.1767,6.1767,0.0,0,2.3863,12.8571,0.3571,0.0
t4w1a1_4000fps_u,MVAU_hls_6,512,256,1,8,9,1,1,1,1,1,0.609,0.609,0.0,0,0.4361,2.8571,0.3571,0.0
t4w1a1_4000fps_u,MVAU_hls_7,512,512,1,16,10,1,1,1,1,1,0.8008,0.8008,0.0,0,0.7453,5.7143,0.3571,0.0
t4w1a1_4000fps_u,MVAU_hls_8,10,512,1,1,16,1,1,1,16,1,1.8402,1.8402,0.0,0,0.6833,0.7143,0.0,0.0
t4w1a1_4500fps_u,MVAU_hls_0,64,27,4,27,13,0,8,900,1,2,4.9154,4.9154,0.0,0,3.6842,2.1429,0.0,0.0
t4w1a1_4500fps_u,MVAU_hls_1,64,576,32,72,10,1,1,784,1,1,13.4004,13.4004,0.0,0,7.5893,22.8571,0.0,0.0
t4w1a1_4500fps_u,MVAU_hls_2,128,576,8,72,10,1,1,144,1,1,3.8853,3.8853,0.0,0,2.6316,5.7143,0.0,0.0
t4w1a1_4500fps_u,MVAU_hls_3,128,1152,16,72,11,1,1,100,1,1,7.2951,7.2951,0.0,0,5.0357,11.4286,0.0,0.0
t4w1a1_4500fps_u,MVAU_hls_4,256,1152,2,72,11,1,1,9,1,1,2.1335,2.1335,0.0,0,1.8008,5.7143,0.7143,0.0
t4w1a1_4500fps_u,MVAU_hls_5,256,2304,1,3,12,1,1,1,1,1,6.1767,6.1767,0.0,0,2.3863,12.8571,0.3571,0.0
t4w1a1_4500fps_u,MVAU_hls_6,512,256,1,8,9,1,1,1,1,1,0.609,0.609,0.0,0,0.4361,2.8571,0.3571,0.0
t4w1a1_4500fps_u,MVAU_hls_7,512,512,1,16,10,1,1,1,1,1,0.8008,0.8008,0.0,0,0.7453,5.7143,0.3571,0.0
t4w1a1_4500fps_u,MVAU_hls_8,10,512,1,1,16,1,1,1,16,1,1.8402,1.8402,0.0,0,0.6833,0.7143,0.0,0.0
t4w1a1_5000fps_u,MVAU_hls_0,64,27,4,27,13,0,8,900,1,2,4.9154,4.9154,0.0,0,3.6842,2.1429,0.0,0.0
t4w1a1_5000fps_u,MVAU_hls_1,64,576,32,72,10,1,1,784,1,1,13.4004,13.4004,0.0,0,7.5893,22.8571,0.0,0.0
t4w1a1_5000fps_u,MVAU_hls_2,128,576,8,72,10,1,1,144,1,1,3.8853,3.8853,0.0,0,2.6316,5.7143,0.0,0.0
t4w1a1_5000fps_u,MVAU_hls_3,128,1152,16,72,11,1,1,100,1,1,7.2951,7.2951,0.0,0,5.0357,11.4286,0.0,0.0
