Repo,NodeName,OpType,Partition,dataType,inFIFODepths,inWidth,outFIFODepths,outWidth,shape,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,partition_2,b'INT8',[2],24,[783],216,"[1, 30, 30, 27]",20,20,0,0,246,0,0,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],4,[86],32,"[1, 30, 30, 64]",7,7,0,0,41,0,0,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],32,[2],64,"[1, 28, 28, 64]",19,19,0,0,99,0,0,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[32],64,[2048],4,"[1, 14, 14, 64]",40,40,0,0,79,0,0,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_4,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],4,[32],72,"[1, 12, 12, 576]",10,10,0,0,83,0,0,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_5,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],8,[32],72,"[1, 10, 10, 1152]",13,13,0,0,86,0,0,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_6,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],16,[2],128,"[1, 10, 10, 128]",14,14,0,0,149,0,0,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_7,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[32],128,[2],1,"[1, 5, 5, 128]",78,78,0,0,140,0,0,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_8,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[63],72,"[1, 3, 3, 1152]",11,11,0,0,82,0,0,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_9,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],2,[2],1,"[1, 3, 3, 256]",10,10,0,0,8,0,0,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_10,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[766],3,"[1, 1, 1, 2304]",7,7,0,0,8,0,0,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_11,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[2],8,"[1, 1, 1, 256]",7,7,0,0,14,0,0,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_12,StreamingDataWidthConverter_rtl,partition_2,b'BINARY',[2],1,[2],16,"[1, 512]",8,8,0,0,23,0,0,0
