Repository,Instance,PE,SIMD,ram_style,resType,mem_mode,runtime_writeable_weights,inFIFODepths,outFIFODepths,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w4_5000fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,12,12,0,0,20,0,0,0
t1w4_5000fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,43,43,0,0,57,3,0,0
t1w4_5000fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,8,8,0,0,12,0,0,0
t1w4_5000fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,19,19,0,0,36,0,0,0
t1w4_5000fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,8,8,0,0,12,0,0,0
t1w4_5000fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,47,47,0,0,53,0,1,0
t1w4_5000fps_u,StreamingFIFO_rtl_8,,,auto,,,,0,0,18,18,0,0,32,0,0,0
t1w4_5000fps_u,StreamingFIFO_rtl_9,,,auto,,,,0,0,7,7,0,0,10,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1,,,,,,,,,12348,11686,278,384,17676,6,1,0
t1w4_50000fps_u,ConvolutionInputGenerator_hls_0,,4,distributed,,,,146,2,1010,790,220,0,724,0,0,0
t1w4_50000fps_u,FMPadding_hls_0,,2,,,,,435,2,112,112,0,0,124,0,0,0
t1w4_50000fps_u,LabelSelect_hls_0,1,,,,,,2,2,75,75,0,0,75,0,0,0
t1w4_50000fps_u,MVAU_hls_0,5,18,auto,auto,internal_decoupled,0,2,2,4657,4657,0,0,4382,4,0,0
t1w4_50000fps_u,MVAU_hls_1,1,20,auto,auto,internal_decoupled,0,2,2,740,682,58,0,1058,0,0,0
t1w4_50000fps_u,MVAU_hls_2,1,2,auto,auto,internal_decoupled,0,1022,2,4223,4223,0,0,8585,2,0,0
t1w4_50000fps_u,StreamingDataWidthConverter_hls_0,,,,,,,2,2,557,557,0,0,1765,0,0,0
t1w4_50000fps_u,StreamingDataWidthConverter_rtl_0,,,,,,,2,146,12,12,0,0,51,0,0,0
t1w4_50000fps_u,StreamingDataWidthConverter_rtl_1,,,,,,,2,2,14,14,0,0,104,0,0,0
t1w4_50000fps_u,StreamingDataWidthConverter_rtl_2,,,,,,,2,1022,5,5,0,0,15,0,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,310,86,0,224,35,0,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,20,20,0,0,36,0,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_10,,,auto,,,,0,0,7,7,0,0,10,0,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,258,98,0,160,45,0,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,36,36,0,0,68,0,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,149,149,0,0,293,0,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,23,23,0,0,43,0,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,83,83,0,0,163,0,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,7,7,0,0,11,0,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_8,,,auto,,,,0,0,43,43,0,0,57,0,1,0
t1w4_50000fps_u,StreamingFIFO_rtl_9,,,auto,,,,0,0,18,18,0,0,32,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1,,,,,,,,,14034,13630,180,224,20477,10,3,18
t1w8_5000fps_u,ConvolutionInputGenerator_hls_0,,1,distributed,,,,4624,2,931,751,180,0,520,0,0,0
t1w8_5000fps_u,FMPadding_hls_0,,1,,,,,869,4624,99,99,0,0,95,0,0,0
t1w8_5000fps_u,LabelSelect_hls_0,1,,,,,,2,2,99,99,0,0,99,0,0,0
t1w8_5000fps_u,MVAU_hls_0,1,12,auto,auto,internal_decoupled,0,593,2,3267,3267,0,0,1363,1,1,12
t1w8_5000fps_u,MVAU_hls_1,1,4,auto,auto,internal_decoupled,0,2,2,2914,2914,0,0,894,0,1,4
t1w8_5000fps_u,MVAU_hls_2,1,2,auto,auto,internal_decoupled,0,338,2,6182,6182,0,0,16931,4,0,2
t1w8_5000fps_u,StreamingDataWidthConverter_rtl_0,,,,,,,2,593,11,11,0,0,110,0,0,0
t1w8_5000fps_u,StreamingDataWidthConverter_rtl_1,,,,,,,2,2,8,8,0,0,44,0,0,0
t1w8_5000fps_u,StreamingDataWidthConverter_rtl_2,,,,,,,2,338,7,7,0,0,27,0,0,0
t1w8_5000fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,298,74,0,224,29,0,0,0
t1w8_5000fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,30,30,0,0,69,2,0,0
t1w8_5000fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,12,12,0,0,20,0,0,0
t1w8_5000fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,43,43,0,0,57,3,0,0
t1w8_5000fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,12,12,0,0,20,0,0,0
t1w8_5000fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,36,36,0,0,68,0,0,0
t1w8_5000fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,12,12,0,0,20,0,0,0
t1w8_5000fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,47,47,0,0,53,0,1,0
t1w8_5000fps_u,StreamingFIFO_rtl_8,,,auto,,,,0,0,26,26,0,0,48,0,0,0
t1w8_5000fps_u,StreamingFIFO_rtl_9,,,auto,,,,0,0,7,7,0,0,10,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1,,,,,,,,,39293,38689,220,384,27531,15,2,124
t1w8_50000fps_u,ConvolutionInputGenerator_hls_0,,4,distributed,,,,146,2,975,755,220,0,724,0,0,0
t1w8_50000fps_u,FMPadding_hls_0,,2,,,,,435,2,112,112,0,0,124,0,0,0
t1w8_50000fps_u,LabelSelect_hls_0,1,,,,,,2,2,99,99,0,0,99,0,0,0
t1w8_50000fps_u,MVAU_hls_0,10,9,auto,auto,internal_decoupled,0,2,2,27281,27281,0,0,5294,9,0,100
t1w8_50000fps_u,MVAU_hls_1,1,20,auto,auto,internal_decoupled,0,2,2,3078,3078,0,0,1389,2,1,22
t1w8_50000fps_u,MVAU_hls_2,1,2,auto,auto,internal_decoupled,0,1022,2,6172,6172,0,0,16931,4,0,2
t1w8_50000fps_u,StreamingDataWidthConverter_hls_0,,,,,,,2,2,489,489,0,0,1696,0,0,0
t1w8_50000fps_u,StreamingDataWidthConverter_rtl_0,,,,,,,2,146,12,12,0,0,51,0,0,0
t1w8_50000fps_u,StreamingDataWidthConverter_rtl_1,,,,,,,2,2,43,43,0,0,243,0,0,0
t1w8_50000fps_u,StreamingDataWidthConverter_rtl_2,,,,,,,2,1022,7,7,0,0,27,0,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,310,86,0,224,35,0,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,19,19,0,0,35,0,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_10,,,auto,,,,0,0,7,7,0,0,10,0,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,258,98,0,160,45,0,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,36,36,0,0,68,0,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,77,77,0,0,148,0,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,83,83,0,0,163,0,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,165,165,0,0,325,0,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,11,11,0,0,19,0,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_8,,,auto,,,,0,0,44,44,0,0,57,0,1,0
t1w8_50000fps_u,StreamingFIFO_rtl_9,,,auto,,,,0,0,26,26,0,0,48,0,0,0
