Hardware config,Submodule Instance,isRTL,ConvKernelDim (dimensions flattened),Dilation (dimensions flattened),Input Feature Map Channels,Input Feature Map Dim (dimensions flattened),ImgDim (dimensions flattened),K,Labels,MH,MW,NumChannels,Output Feature Map Dim (dimensions flattened),PE,Padding (dimensions flattened),SIMD,Stride (dimensions flattened),accDataType (bits),cycles_estimate,inputDataType (bits),noActivation,numInputVectors (dimensions flattened),isOp_typeConvolutioninputgeneratorrtl,isOp_typeFmpaddingrtl,isOp_typeLabelselecthls,isOp_typeMvauhls,isOp_typeMvaurtl,outputDataType (bits),parallel_window,isRam_styleAuto,isRam_styleDistributed,isRestypeAuto,isRestypeLut,weightDataType (bits),Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
builds_t2w8_run11_40_modify_folding_BOTH,FMPadding_rtl_0,1,,,,,1024.0,,,,,4.0,,,1.0,1.0,,,4624.0,8.0,,,0,1,0,0,0,,,0,0,0,0,,51,83,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,FMPadding_rtl_1,1,,,,,256.0,,,,,16.0,,,1.0,1.0,,,5184.0,8.0,,,0,1,0,0,0,,,0,0,0,0,,47,76,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,FMPadding_rtl_2,1,,,,,64.0,,,,,8.0,,,1.0,1.0,,,800.0,8.0,,,0,1,0,0,0,,,0,0,0,0,,41,66,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,FMPadding_rtl_3,1,,,,,16.0,,,,,16.0,,,1.0,1.0,,,576.0,8.0,,,0,1,0,0,0,,,0,0,0,0,,47,58,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,LabelSelect_hls_0,0,,,,,,1.0,6.0,,,,,1.0,,,,,6.0,18.0,,1.0,0,0,1,0,0,8.0,,0,0,0,0,,90,89,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,MVAU_hls_0,0,,,,,,,,16.0,36.0,,,1.0,,18.0,,18.0,8192.0,8.0,0.0,256.0,0,0,0,1,0,8.0,,0,0,1,0,7.0,3305,1971,2.0,18
builds_t2w8_run11_40_modify_folding_BOTH,MVAU_hls_1,0,,,,,,,,8.0,144.0,,,1.0,,9.0,,20.0,8192.0,8.0,0.0,64.0,0,0,0,1,0,8.0,,0,0,1,0,8.0,3634,2386,1.0,9
builds_t2w8_run11_40_modify_folding_BOTH,MVAU_hls_2,0,,,,,,,,16.0,72.0,,,1.0,,3.0,,19.0,6144.0,8.0,0.0,16.0,0,0,0,1,0,8.0,,0,0,1,0,8.0,3270,1378,0.5,3
builds_t2w8_run11_40_modify_folding_BOTH,MVAU_hls_3,0,,,,,,,,8.0,144.0,,,1.0,,1.0,,19.0,4608.0,8.0,0.0,4.0,0,0,0,1,0,8.0,,0,0,1,0,7.0,3589,1825,0.5,1
builds_t2w8_run11_40_modify_folding_BOTH,MVAU_rtl_0,1,,,,,,,,6.0,32.0,,,1.0,,1.0,,18.0,192.0,8.0,1.0,1.0,0,0,0,0,1,18.0,,0,0,1,0,7.0,109,188,0.5,1
builds_t2w8_run11_40_modify_folding_BOTH,StreamingDataWidthConverter_hls_0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,439,793,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,8,27,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,18,166,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,8,27,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,10,36,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,319,37,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_10,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_11,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_12,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_13,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,110,41,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_14,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_15,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_16,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,122,29,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_17,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_18,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,31,54,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_19,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_2,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,170,37,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_3,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,23,38,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_4,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,49,53,2.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_5,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,49,53,0.5,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_6,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_7,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,71,32,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_8,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,23,38,0.0,0
builds_t2w8_run11_40_modify_folding_BOTH,StreamingFIFO_rtl_9,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,416,101,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,1,9.0,1.0,4.0,1156.0,,,,,,,256.0,,,2.0,4.0,,4750.0,8.0,,,1,0,0,0,0,8.0,0.0,0,1,0,0,,242,100,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,1,9.0,1.0,16.0,324.0,,,,,,,64.0,,,2.0,4.0,,4920.0,2.0,,,1,0,0,0,0,2.0,0.0,0,1,0,0,,209,93,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,1,9.0,1.0,8.0,100.0,,,,,,,16.0,,,1.0,4.0,,1336.0,2.0,,,1,0,0,0,0,2.0,0.0,0,1,0,0,,161,81,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,1,9.0,1.0,16.0,36.0,,,,,,,4.0,,,1.0,4.0,,816.0,2.0,,,1,0,0,0,0,2.0,0.0,0,1,0,0,,172,81,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,FMPadding_rtl_0,1,,,,,1024.0,,,,,4.0,,,1.0,1.0,,,4624.0,8.0,,,0,1,0,0,0,,,0,0,0,0,,51,83,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,FMPadding_rtl_1,1,,,,,256.0,,,,,16.0,,,1.0,1.0,,,5184.0,2.0,,,0,1,0,0,0,,,0,0,0,0,,47,76,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,FMPadding_rtl_2,1,,,,,64.0,,,,,8.0,,,1.0,1.0,,,800.0,2.0,,,0,1,0,0,0,,,0,0,0,0,,41,66,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,FMPadding_rtl_3,1,,,,,16.0,,,,,16.0,,,1.0,1.0,,,576.0,2.0,,,0,1,0,0,0,,,0,0,0,0,,47,58,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,LabelSelect_hls_0,0,,,,,,1.0,6.0,,,,,1.0,,,,,6.0,7.0,,1.0,0,0,1,0,0,8.0,,0,0,0,0,,58,56,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,MVAU_hls_0,0,,,,,,,,16.0,36.0,,,1.0,,18.0,,13.0,8192.0,8.0,0.0,256.0,0,0,0,1,0,2.0,,0,0,1,0,2.0,586,1139,1.0,18
builds_t2w2_run11_20_modify_folding_BOTH,MVAU_hls_1,0,,,,,,,,8.0,144.0,,,1.0,,9.0,,9.0,8192.0,2.0,0.0,64.0,0,0,0,1,0,2.0,,0,0,1,0,2.0,395,663,0.5,9
builds_t2w2_run11_20_modify_folding_BOTH,MVAU_hls_2,0,,,,,,,,16.0,72.0,,,1.0,,3.0,,8.0,6144.0,2.0,0.0,16.0,0,0,0,1,0,2.0,,0,0,1,0,2.0,332,378,0.5,3
builds_t2w2_run11_20_modify_folding_BOTH,MVAU_hls_3,0,,,,,,,,8.0,144.0,,,1.0,,1.0,,9.0,4608.0,2.0,0.0,4.0,0,0,0,1,0,2.0,,0,0,1,0,2.0,779,516,0.5,1
builds_t2w2_run11_20_modify_folding_BOTH,MVAU_hls_4,0,,,,,,,,6.0,32.0,,,1.0,,1.0,,7.0,192.0,2.0,1.0,1.0,0,0,0,1,0,7.0,,0,0,1,0,2.0,322,267,0.5,1
builds_t2w2_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_hls_0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,256,283,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,8,27,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,18,166,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,5,9,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,7,12,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,319,37,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_10,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_11,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_12,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_13,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,62,25,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_14,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_15,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_16,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,122,29,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_17,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_18,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_19,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_2,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,170,37,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_3,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,23,38,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_4,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,49,53,2.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_5,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,49,53,0.5,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_6,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_7,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,55,24,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_8,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_9,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,165,43,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,1,9.0,1.0,4.0,1156.0,,,,,,,256.0,,,2.0,4.0,,4750.0,8.0,,,1,0,0,0,0,8.0,0.0,0,1,0,0,,242,100,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,1,9.0,1.0,16.0,324.0,,,,,,,64.0,,,2.0,4.0,,4920.0,4.0,,,1,0,0,0,0,4.0,0.0,0,1,0,0,,254,97,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,1,9.0,1.0,8.0,100.0,,,,,,,16.0,,,1.0,4.0,,1336.0,4.0,,,1,0,0,0,0,4.0,0.0,0,1,0,0,,170,83,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,1,9.0,1.0,16.0,36.0,,,,,,,4.0,,,1.0,4.0,,816.0,4.0,,,1,0,0,0,0,4.0,0.0,0,1,0,0,,176,83,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,FMPadding_rtl_0,1,,,,,1024.0,,,,,4.0,,,1.0,1.0,,,4624.0,8.0,,,0,1,0,0,0,,,0,0,0,0,,51,83,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,FMPadding_rtl_1,1,,,,,256.0,,,,,16.0,,,1.0,1.0,,,5184.0,4.0,,,0,1,0,0,0,,,0,0,0,0,,47,76,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,FMPadding_rtl_2,1,,,,,64.0,,,,,8.0,,,1.0,1.0,,,800.0,4.0,,,0,1,0,0,0,,,0,0,0,0,,41,66,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,FMPadding_rtl_3,1,,,,,16.0,,,,,16.0,,,1.0,1.0,,,576.0,4.0,,,0,1,0,0,0,,,0,0,0,0,,47,58,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,LabelSelect_hls_0,0,,,,,,1.0,6.0,,,,,1.0,,,,,6.0,11.0,,1.0,0,0,1,0,0,8.0,,0,0,0,0,,65,61,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,MVAU_hls_0,0,,,,,,,,16.0,36.0,,,1.0,,18.0,,14.0,8192.0,8.0,0.0,256.0,0,0,0,1,0,4.0,,0,0,1,0,3.0,705,1282,1.0,18
builds_t2w4_run11_20_modify_folding_BOTH,MVAU_hls_1,0,,,,,,,,8.0,144.0,,,1.0,,9.0,,12.0,8192.0,4.0,0.0,64.0,0,0,0,1,0,4.0,,0,0,1,0,3.0,610,1085,0.5,9
builds_t2w4_run11_20_modify_folding_BOTH,MVAU_hls_2,0,,,,,,,,16.0,72.0,,,1.0,,3.0,,11.0,6144.0,4.0,0.0,16.0,0,0,0,1,0,4.0,,0,0,1,0,3.0,481,599,0.5,3
builds_t2w4_run11_20_modify_folding_BOTH,MVAU_hls_3,0,,,,,,,,8.0,144.0,,,1.0,,1.0,,11.0,4608.0,4.0,0.0,4.0,0,0,0,1,0,4.0,,0,0,1,0,3.0,802,829,0.5,1
builds_t2w4_run11_20_modify_folding_BOTH,MVAU_rtl_0,1,,,,,,,,6.0,32.0,,,1.0,,1.0,,11.0,192.0,4.0,1.0,1.0,0,0,0,0,1,11.0,,0,0,1,0,4.0,102,156,0.5,1
builds_t2w4_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_hls_0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,317,453,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,8,27,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,18,166,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,6,15,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,8,20,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,319,37,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_10,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_11,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_12,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_13,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,86,33,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_14,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_15,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_16,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,122,29,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_17,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_18,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,23,38,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_19,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_2,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,170,37,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_3,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,23,38,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_4,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,49,53,2.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_5,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,49,53,0.5,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_6,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_7,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,55,24,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_8,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_9,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,245,59,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,1,9.0,1.0,4.0,1156.0,,,,,,,256.0,,,4.0,4.0,,2375.0,8.0,,,1,0,0,0,0,8.0,0.0,0,1,0,0,,245,108,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,1,9.0,1.0,16.0,324.0,,,,,,,64.0,,,4.0,4.0,,2460.0,2.0,,,1,0,0,0,0,2.0,0.0,0,1,0,0,,199,90,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,1,9.0,1.0,8.0,100.0,,,,,,,16.0,,,1.0,4.0,,1336.0,2.0,,,1,0,0,0,0,2.0,0.0,0,1,0,0,,161,81,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,1,9.0,1.0,16.0,36.0,,,,,,,4.0,,,1.0,4.0,,816.0,2.0,,,1,0,0,0,0,2.0,0.0,0,1,0,0,,172,81,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,FMPadding_rtl_0,1,,,,,1024.0,,,,,4.0,,,1.0,2.0,,,2312.0,8.0,,,0,1,0,0,0,,,0,0,0,0,,65,97,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,FMPadding_rtl_1,1,,,,,256.0,,,,,16.0,,,1.0,2.0,,,2592.0,2.0,,,0,1,0,0,0,,,0,0,0,0,,46,75,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,FMPadding_rtl_2,1,,,,,64.0,,,,,8.0,,,1.0,1.0,,,800.0,2.0,,,0,1,0,0,0,,,0,0,0,0,,41,66,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,FMPadding_rtl_3,1,,,,,16.0,,,,,16.0,,,1.0,1.0,,,576.0,2.0,,,0,1,0,0,0,,,0,0,0,0,,47,58,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,LabelSelect_hls_0,0,,,,,,1.0,6.0,,,,,1.0,,,,,6.0,7.0,,1.0,0,0,1,0,0,8.0,,0,0,0,0,,58,56,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,MVAU_hls_0,0,,,,,,,,16.0,36.0,,,2.0,,36.0,,13.0,2048.0,8.0,0.0,256.0,0,0,0,1,0,2.0,,0,0,1,0,2.0,840,1945,2.0,72
builds_t2w2_run19_40_modify_folding_BOTH,MVAU_hls_1,0,,,,,,,,8.0,144.0,,,1.0,,24.0,,9.0,3072.0,2.0,0.0,64.0,0,0,0,1,0,2.0,,0,0,1,0,2.0,530,891,1.0,24
builds_t2w2_run19_40_modify_folding_BOTH,MVAU_hls_2,0,,,,,,,,16.0,72.0,,,1.0,,6.0,,8.0,3072.0,2.0,0.0,16.0,0,0,0,1,0,2.0,,0,0,1,0,2.0,327,444,0.5,6
builds_t2w2_run19_40_modify_folding_BOTH,MVAU_hls_3,0,,,,,,,,8.0,144.0,,,1.0,,2.0,,9.0,2304.0,2.0,0.0,4.0,0,0,0,1,0,2.0,,0,0,1,0,2.0,471,518,0.5,2
builds_t2w2_run19_40_modify_folding_BOTH,MVAU_hls_4,0,,,,,,,,6.0,32.0,,,1.0,,1.0,,7.0,192.0,2.0,1.0,1.0,0,0,0,1,0,7.0,,0,0,1,0,2.0,322,267,0.5,1
builds_t2w2_run19_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,12,51,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,26,326,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,6,15,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,10,61,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,7,19,0.0,0
