model_id,session,timestamp,run_name,run_number,is_baseline,fixed_ram_style,fixed_resType,Submodule Instance,base_name,isRTL,isHLS,layer_idx,ActVal,ConvKernelDim,Dilation,IFMChannels,IFMDim,ImgDim,K,Labels,MH,MW,NumChannels,OFMDim,Padding,Stride,accDataType,backend,binaryXnorMode,cycles_estimate,depth_trigger_bram,depth_trigger_uram,depthwise,inWidth,inputDataType,is1D,mem_mode,noActivation,numInputVectors,numSteps,op_type,outputDataType,parallel_window,runtime_writeable_weights,weightDataType,PE,SIMD,ram_style,resType,depth,impl_style,estimated_cycles,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run1_baseline_folded,1,1,block,dsp,Thresholding_rtl_0,Thresholding,1,0,0,0,,,,,,,,,,784,,,,,fpgadataflow,,784,0,0,,,UINT8,,,,[1],1,Thresholding_rtl,BINARY,,0,UINT9,1,,,,,,784,13,13,0.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run2_optimized,2,0,block,dsp,Thresholding_rtl_0,Thresholding,1,0,0,0,,,,,,,,,,784,,,,,fpgadataflow,,784,0,0,,,UINT8,,,,[1],1,Thresholding_rtl,BINARY,,0,UINT9,1,,,,,,784,13,13,0.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run3_optimized,3,0,block,dsp,Thresholding_rtl_0,Thresholding,1,0,0,0,,,,,,,,,,784,,,,,fpgadataflow,,784,0,0,,,UINT8,,,,[1],1,Thresholding_rtl,BINARY,,0,UINT9,1,,,,,,784,13,13,0.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run4_optimized,4,0,block,dsp,Thresholding_rtl_0,Thresholding,1,0,0,0,,,,,,,,,,784,,,,,fpgadataflow,,784,0,0,,,UINT8,,,,[1],1,Thresholding_rtl,BINARY,,0,UINT9,1,,,,,,784,13,13,0.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run5_optimized,5,0,block,dsp,Thresholding_rtl_0,Thresholding,1,0,0,0,,,,,,,,,,784,,,,,fpgadataflow,,784,0,0,,,UINT8,,,,[1],1,Thresholding_rtl,BINARY,,0,UINT9,1,,,,,,784,13,13,0.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run6_optimized,6,0,block,dsp,Thresholding_rtl_0,Thresholding,1,0,0,0,,,,,,,,,,784,,,,,fpgadataflow,,784,0,0,,,UINT8,,,,[1],1,Thresholding_rtl,BINARY,,0,UINT9,1,,,,,,784,13,13,0.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run7_optimized,7,0,block,dsp,Thresholding_rtl_0,Thresholding,1,0,0,0,,,,,,,,,,784,,,,,fpgadataflow,,784,0,0,,,UINT8,,,,[1],1,Thresholding_rtl,BINARY,,0,UINT9,1,,,,,,784,13,13,0.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run8_optimized,8,0,block,dsp,Thresholding_rtl_0,Thresholding,1,0,0,0,,,,,,,,,,784,,,,,fpgadataflow,,784,0,0,,,UINT8,,,,[1],1,Thresholding_rtl,BINARY,,0,UINT9,1,,,,,,784,13,13,0.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run9_optimized,9,0,block,dsp,Thresholding_rtl_0,Thresholding,1,0,0,0,,,,,,,,,,784,,,,,fpgadataflow,,784,0,0,,,UINT8,,,,[1],1,Thresholding_rtl,BINARY,,0,UINT9,1,,,,,,784,13,13,0.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run10_optimized,10,0,block,dsp,Thresholding_rtl_0,Thresholding,1,0,0,0,,,,,,,,,,784,,,,,fpgadataflow,,784,0,0,,,UINT8,,,,[1],1,Thresholding_rtl,BINARY,,0,UINT9,1,,,,,,784,13,13,0.0,0
