model_id,session,timestamp,run_name,run_number,is_baseline,fixed_ram_style,fixed_resType,Submodule Instance,base_name,isRTL,isHLS,layer_idx,ActVal,ConvKernelDim,Dilation,IFMChannels,IFMDim,ImgDim,K,Labels,MH,MW,NumChannels,OFMDim,Padding,Stride,accDataType,backend,binaryXnorMode,cycles_estimate,depth_trigger_bram,depth_trigger_uram,depthwise,inWidth,inputDataType,is1D,mem_mode,noActivation,numInputVectors,numSteps,op_type,outputDataType,parallel_window,runtime_writeable_weights,weightDataType,PE,SIMD,ram_style,resType,depth,impl_style,estimated_cycles,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run9_optimized,9,0,block,dsp,MVAU_hls_1,MVAU,0,1,1,0,,,,,,,,64,64,,,,,INT7,fpgadataflow,1,2048,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,2,block,dsp,,,2048,322,277,0.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run9_optimized,9,0,block,dsp,MVAU_hls_2,MVAU,0,1,2,0,,,,,,,,64,64,,,,,INT7,fpgadataflow,1,2048,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,2,block,dsp,,,2048,322,277,0.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run9_optimized,9,0,block,dsp,MVAU_hls_3,MVAU,0,1,3,0,,,,,,,,10,64,,,,,INT7,fpgadataflow,1,640,,,,,BINARY,,internal_decoupled,1,[1],,MVAU_hls,INT7,,0,BINARY,1,1,block,dsp,,,640,331,268,0.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run10_optimized,10,0,block,dsp,MVAU_hls_0,MVAU,0,1,0,0,,,,,,,,64,784,,,,,INT10,fpgadataflow,1,1792,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,28,block,dsp,,,1792,647,1248,2.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run10_optimized,10,0,block,dsp,MVAU_hls_1,MVAU,0,1,1,0,,,,,,,,64,64,,,,,INT7,fpgadataflow,1,1024,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,4,block,dsp,,,1024,281,290,0.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run10_optimized,10,0,block,dsp,MVAU_hls_2,MVAU,0,1,2,0,,,,,,,,64,64,,,,,INT7,fpgadataflow,1,1024,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,4,block,dsp,,,1024,281,290,0.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run10_optimized,10,0,block,dsp,MVAU_hls_3,MVAU,0,1,3,0,,,,,,,,10,64,,,,,INT7,fpgadataflow,1,640,,,,,BINARY,,internal_decoupled,1,[1],,MVAU_hls,INT7,,0,BINARY,1,1,block,dsp,,,640,331,268,0.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run11_optimized,11,0,block,dsp,MVAU_hls_0,MVAU,0,1,0,0,,,,,,,,64,784,,,,,INT10,fpgadataflow,1,1024,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,49,block,dsp,,,1024,606,1396,2.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run11_optimized,11,0,block,dsp,MVAU_hls_1,MVAU,0,1,1,0,,,,,,,,64,64,,,,,INT7,fpgadataflow,1,1024,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,4,block,dsp,,,1024,281,290,0.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run11_optimized,11,0,block,dsp,MVAU_hls_2,MVAU,0,1,2,0,,,,,,,,64,64,,,,,INT7,fpgadataflow,1,1024,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,4,block,dsp,,,1024,281,290,0.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run11_optimized,11,0,block,dsp,MVAU_hls_3,MVAU,0,1,3,0,,,,,,,,10,64,,,,,INT7,fpgadataflow,1,640,,,,,BINARY,,internal_decoupled,1,[1],,MVAU_hls,INT7,,0,BINARY,1,1,block,dsp,,,640,331,268,0.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run12_optimized,12,0,block,dsp,MVAU_hls_0,MVAU,0,1,0,0,,,,,,,,64,784,,,,,INT10,fpgadataflow,1,896,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,56,block,dsp,,,896,744,1439,2.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run12_optimized,12,0,block,dsp,MVAU_hls_1,MVAU,0,1,1,0,,,,,,,,64,64,,,,,INT7,fpgadataflow,1,512,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,8,block,dsp,,,512,276,306,0.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run12_optimized,12,0,block,dsp,MVAU_hls_2,MVAU,0,1,2,0,,,,,,,,64,64,,,,,INT7,fpgadataflow,1,512,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,8,block,dsp,,,512,276,306,0.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run12_optimized,12,0,block,dsp,MVAU_hls_3,MVAU,0,1,3,0,,,,,,,,10,64,,,,,INT7,fpgadataflow,1,640,,,,,BINARY,,internal_decoupled,1,[1],,MVAU_hls,INT7,,0,BINARY,1,1,block,dsp,,,640,331,268,0.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run13_optimized,13,0,block,dsp,MVAU_hls_0,MVAU,0,1,0,0,,,,,,,,64,784,,,,,INT10,fpgadataflow,1,512,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,98,block,dsp,,,512,795,1682,1.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run13_optimized,13,0,block,dsp,MVAU_hls_1,MVAU,0,1,1,0,,,,,,,,64,64,,,,,INT7,fpgadataflow,1,512,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,8,block,dsp,,,512,276,306,0.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run13_optimized,13,0,block,dsp,MVAU_hls_2,MVAU,0,1,2,0,,,,,,,,64,64,,,,,INT7,fpgadataflow,1,512,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,8,block,dsp,,,512,276,306,0.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run13_optimized,13,0,block,dsp,MVAU_hls_3,MVAU,0,1,3,0,,,,,,,,10,64,,,,,INT7,fpgadataflow,1,640,,,,,BINARY,,internal_decoupled,1,[1],,MVAU_hls,INT7,,0,BINARY,1,1,block,dsp,,,640,331,268,0.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run14_optimized,14,0,block,dsp,MVAU_hls_0,MVAU,0,1,0,0,,,,,,,,64,784,,,,,INT10,fpgadataflow,1,512,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,98,block,dsp,,,512,795,1682,1.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run14_optimized,14,0,block,dsp,MVAU_hls_1,MVAU,0,1,1,0,,,,,,,,64,64,,,,,INT7,fpgadataflow,1,512,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,8,block,dsp,,,512,276,306,0.5,0
