Hardware config,Submodule Instance,ConvKernelDim,Dilation,ImgDim (dimensions flattened),K,Labels,NumChannels,PE,Padding (dimensions flattened),SIMD,Stride,cycles_estimate,inputDataType (bits),numInputVectors,Total LUT,Total FFs,DSP Blocks
builds_t2w2_run12_20_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,576,2,,47,58,0
builds_t2w8_run25_80_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,1156,8,,64,129,0
builds_t2w8_run25_80_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,4,,1296,8,,57,122,0
builds_t2w8_run25_80_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,800,8,,41,66,0
builds_t2w8_run25_80_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,576,8,,47,58,0
builds_t2w8_run4_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,4624,8,,51,83,0
builds_t2w8_run4_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,5184,8,,47,76,0
builds_t2w8_run4_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,800,8,,41,66,0
builds_t2w8_run4_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,576,8,,47,58,0
builds_t2w4_run26_40_modify_folding_naive_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,1156,8,,64,129,0
builds_t2w4_run26_40_modify_folding_naive_BOTH,FMPadding_rtl_1,,,256,,,16,,1,8,,648,4,,56,120,0
builds_t2w4_run26_40_modify_folding_naive_BOTH,FMPadding_rtl_2,,,64,,,8,,1,2,,400,4,,40,65,0
builds_t2w4_run26_40_modify_folding_naive_BOTH,FMPadding_rtl_3,,,16,,,16,,1,2,,288,4,,46,57,0
builds_t2w2_run7_10_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,4624,8,,51,83,0
builds_t2w2_run7_10_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,5184,2,,47,76,0
builds_t2w2_run7_10_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,800,2,,41,66,0
builds_t2w2_run7_10_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,576,2,,47,58,0
builds_t2w8_run5_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,4624,8,,51,83,0
builds_t2w8_run5_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,5184,8,,47,76,0
builds_t2w8_run5_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,800,8,,41,66,0
builds_t2w8_run5_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,576,8,,47,58,0
builds_t2w2_run2_10_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,4624,8,,51,83,0
builds_t2w2_run2_10_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,5184,2,,47,76,0
builds_t2w2_run2_10_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,800,2,,41,66,0
builds_t2w2_run2_10_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,576,2,,47,58,0
builds_t2w8_run26_80_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,1156,8,,64,129,0
builds_t2w8_run26_80_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,4,,1296,8,,57,122,0
builds_t2w8_run26_80_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,800,8,,41,66,0
builds_t2w8_run26_80_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,576,8,,47,58,0
builds_t2w4_run24_80_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,1156,8,,64,129,0
builds_t2w4_run24_80_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,4,,1296,4,,49,90,0
builds_t2w4_run24_80_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,800,4,,41,66,0
builds_t2w4_run24_80_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,576,4,,47,58,0
builds_t2w4_run5_20_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,4624,8,,51,83,0
builds_t2w4_run5_20_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,5184,4,,47,76,0
builds_t2w4_run5_20_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,800,4,,41,66,0
builds_t2w4_run5_20_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,576,4,,47,58,0
builds_t2w2_run13_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,4624,8,,51,83,0
builds_t2w2_run13_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,5184,2,,47,76,0
builds_t2w2_run13_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,800,2,,41,66,0
builds_t2w2_run13_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,576,2,,47,58,0
builds_t2w2_run26_20_modify_folding_greedy_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,1156,8,,64,129,0
builds_t2w2_run26_20_modify_folding_greedy_BOTH,FMPadding_rtl_1,,,256,,,16,,1,4,,1296,2,,45,74,0
builds_t2w2_run26_20_modify_folding_greedy_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,800,2,,41,66,0
builds_t2w2_run26_20_modify_folding_greedy_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,576,2,,47,58,0
builds_t2w2_run17_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,2,,2312,8,,65,97,0
builds_t2w2_run17_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,2592,2,,46,75,0
builds_t2w2_run17_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,800,2,,41,66,0
builds_t2w2_run17_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,576,2,,47,58,0
